ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
-1,6.52091,4.611073,6.489857,4.588929,15.98894,0.2757461,3.105008,0.5661188,NONE
-1,6.5209,4.611065,6.489867,4.588936,15.98894,0.2757461,3.105008,0.5896127,NONE
-1,6.520896,4.611063,6.48987,4.588938,15.98894,0.275746,3.105008,0.6064037,NONE
-1,6.520894,4.611061,6.489872,4.58894,15.98894,0.2757458,3.105008,0.6136228,NONE
-1,6.520894,4.611061,6.489872,4.58894,15.98894,0.2757456,3.105008,0.6265055,ACCELERATE
-1,6.520893,4.61106,6.489873,4.588941,15.98894,0.2757442,3.105009,0.7046493,ACCELERATE
-1,6.520883,4.611053,6.489885,4.588949,15.98895,0.2757446,3.105022,0.80929,ACCELERATE
-1,6.520876,4.611048,6.489891,4.588953,15.98895,0.2757438,3.105032,0.9118932,ACCELERATE
-1,6.520871,4.611044,6.489897,4.588957,15.98896,0.2757458,3.105047,1.002598,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757472,3.105085,1.101334,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757426,3.10509,1.202772,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757455,3.105107,1.302475,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757456,3.105138,1.400728,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105159,1.501258,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757428,3.105167,1.603093,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757467,3.105196,1.703747,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.105229,1.803496,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757424,3.105229,1.904218,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757467,3.105256,2.003405,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757453,3.105284,2.101713,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757425,3.105283,2.202055,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757463,3.105314,2.302476,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105339,2.404159,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757452,3.105359,2.501252,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757468,3.105394,2.603176,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757425,3.105396,2.701414,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.105416,2.801652,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275747,3.105453,2.90175,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757426,3.105458,3.001568,ACCELERATE
-1,6.520905,4.611039,6.489861,4.588962,15.98896,0.2757187,3.170585,3.103492,ACCELERATE
-1,6.520963,4.61103,6.489805,4.588972,15.98897,0.2757019,3.382157,3.20062,ACCELERATE
-1,6.521039,4.611025,6.489728,4.588976,15.98898,0.2756972,3.740243,3.301385,ACCELERATE
-1,6.521202,4.611023,6.489567,4.588978,15.98898,0.277621,4.223684,3.40195,ACCELERATE
-1,6.521363,4.611082,6.489407,4.588919,15.98891,0.2814542,4.816804,3.500781,ACCELERATE
-1,6.521531,4.611147,6.489238,4.588854,15.98885,0.2786288,5.546685,3.602564,ACCELERATE
-1,6.521759,4.611216,6.489011,4.588786,15.98878,0.2794788,6.38024,3.703725,ACCELERATE
-1,6.521913,4.611287,6.488857,4.588714,15.98871,0.2789608,7.267963,3.800256,ACCELERATE
-1,6.522139,4.611372,6.488632,4.588629,15.98862,0.279272,8.278585,3.900871,ACCELERATE
-1,6.522379,4.611475,6.488392,4.588526,15.98852,0.279117,9.371629,4.001862,ACCELERATE
-1,6.522659,4.611596,6.488114,4.588405,15.9884,0.2791877,10.51962,4.101626,ACCELERATE
-1,6.522957,4.611735,6.487817,4.588266,15.98826,0.2791487,11.72385,4.201078,ACCELERATE
-1,6.523309,4.611906,6.487465,4.588095,15.98809,0.2791672,13.01129,4.302909,ACCELERATE
-1,6.523676,4.612092,6.487098,4.587909,15.9879,0.2791569,14.28721,4.400277,ACCELERATE
-1,6.524094,4.612309,6.486682,4.587692,15.98768,0.2791617,15.66082,4.501965,ACCELERATE
-1,6.524555,4.612557,6.486222,4.587444,15.98743,0.2791594,17.07292,4.603809,ACCELERATE
-1,6.525027,4.612817,6.485749,4.587184,15.98716,0.2791592,18.50415,4.704792,ACCELERATE
-1,6.525568,4.61312,6.48521,4.586883,15.98687,0.2791583,19.92705,4.803373,ACCELERATE
-1,6.526137,4.613443,6.484642,4.586558,15.98654,0.279158,21.39477,4.903502,ACCELERATE
-1,6.526747,4.613797,6.484033,4.586205,15.98619,0.2791573,22.88412,5.003824,ACCELERATE
-1,6.527364,4.614159,6.483416,4.585843,15.98583,0.2791586,24.32282,5.100417,ACCELERATE
-1,6.528053,4.614568,6.48273,4.585433,15.98542,0.2791597,25.84637,5.2027,ACCELERATE
-1,6.52874,4.614981,6.482044,4.585021,15.985,0.2791606,27.30001,5.30029,ACCELERATE
-1,6.529493,4.615437,6.481292,4.584565,15.98455,0.2791599,28.81392,5.401925,ACCELERATE
-1,6.530279,4.615916,6.480509,4.584086,15.98406,0.2791597,30.33895,5.504307,ACCELERATE
-1,6.531085,4.616411,6.479703,4.583591,15.98357,0.2791601,31.81304,5.60327,ACCELERATE
-1,6.507242,4.616923,6.503322,4.583079,15.98306,0.2791603,33.27858,5.701657,ACCELERATE
-1,6.409269,4.617465,6.680027,4.582538,15.98251,0.2791602,34.76901,5.801718,ACCELERATE
-1,6.223361,4.61804,7.101397,4.581963,15.98194,0.2791604,36.26896,5.902417,ACCELERATE
-1,5.955213,4.603473,7.977353,4.59644,15.98133,0.2791597,37.772,6.003324,ACCELERATE
-1,5.634174,4.534985,9.92362,4.694695,15.97716,0.27916,39.26933,6.103851,LEFT_ACCELERATE
-1,5.472923,4.439073,-1,4.799679,15.90798,0.2791635,40.72234,6.201602,LEFT_ACCELERATE
-1,5.561885,4.386724,-1,4.817674,15.67146,0.2791825,42.19674,6.302085,LEFT_ACCELERATE
-1,5.690202,4.436271,9.327768,4.767843,15.25995,0.2791778,43.62037,6.401756,LEFT_ACCELERATE
-1,5.580472,4.464666,-1,4.74603,14.77102,0.2791693,45.02483,6.501625,LEFT_ACCELERATE
-1,5.491456,4.449178,-1,4.779967,14.2185,0.2791681,46.41948,6.602422,LEFT_ACCELERATE
-1,5.651925,4.460963,-1,4.738753,13.51811,0.2791882,47.73029,6.702448,LEFT_ACCELERATE
-1,6.049495,4.595267,8.082191,4.603869,12.62899,0.2791964,48.90859,6.801879,LEFT_ACCELERATE
-1,6.36748,4.806629,7.28232,4.407732,11.59855,0.2791847,49.96489,6.901145,LEFT_ACCELERATE
-1,6.730977,5.032083,6.535994,4.18773,10.43788,0.2791887,50.94303,7.003256,LEFT_ACCELERATE
-1,7.386947,5.35357,5.489779,3.915352,9.170987,0.2791975,51.73143,7.103747,LEFT_ACCELERATE
