ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757099,3.105008,0.4298992,NONE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757259,3.105008,0.45225,NONE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757291,3.105008,0.4577914,NONE
-1,6.520902,4.611067,6.489864,4.588934,15.98893,0.2757437,3.105009,0.510616,NONE
-1,6.520895,4.611062,6.489872,4.588939,15.98894,0.2757462,3.105012,0.604875,NONE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757445,3.105012,0.704173,NONE
-1,6.520883,4.611053,6.489885,4.588949,15.98895,0.2757462,3.105028,0.8027899,NONE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757463,3.105052,0.9014316,ACCELERATE
-1,6.520869,4.611043,6.489898,4.588958,15.98896,0.2757462,3.10508,1.00014,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757427,3.105081,1.103032,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757465,3.105115,1.200403,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757464,3.105147,1.300113,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757426,3.105153,1.404301,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757463,3.105176,1.50421,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757455,3.105205,1.603429,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757426,3.105205,1.701876,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757465,3.105238,1.800807,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105263,1.903343,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757425,3.105263,2.003087,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757463,3.105293,2.100924,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757463,3.105322,2.200637,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757437,3.105343,2.300168,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757427,3.105356,2.408903,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757462,3.105376,2.50137,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757468,3.105411,2.602263,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105425,2.703008,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757457,3.10544,2.802746,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757474,3.105477,2.901529,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757428,3.105489,3.00242,ACCELERATE
-1,6.520888,4.611039,6.489878,4.588962,15.98896,0.2757262,3.144243,3.101908,ACCELERATE
-1,6.520946,4.61103,6.489823,4.588972,15.98897,0.2757057,3.325403,3.202034,ACCELERATE
-1,6.521016,4.611023,6.489752,4.588978,15.98898,0.2756983,3.646891,3.302034,ACCELERATE
-1,6.521194,4.611028,6.489574,4.588974,15.98897,0.2866694,4.091469,3.401054,ACCELERATE
