ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757042,3.105008,0.4235594,NONE
-1,6.520906,4.61107,6.489861,4.588932,15.98893,0.275721,3.105008,0.4435781,NONE
-1,6.520906,4.61107,6.489861,4.588932,15.98893,0.2757239,3.105008,0.4486366,NONE
-1,6.520904,4.611068,6.489863,4.588933,15.98893,0.2757423,3.105008,0.5008114,NONE
-1,6.520896,4.611063,6.48987,4.588938,15.98894,0.2757461,3.105008,0.6048169,NONE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757463,3.105018,0.7041164,NONE
-1,6.520884,4.611053,6.489883,4.588948,15.98895,0.2757432,3.105036,0.8576277,ACCELERATE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757464,3.105052,0.9031799,ACCELERATE
-1,6.520869,4.611043,6.489898,4.588958,15.98896,0.275746,3.105082,1.003899,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757448,3.105103,1.100582,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757433,3.105107,1.202429,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757463,3.105142,1.300972,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757435,3.105163,1.401308,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757448,3.105187,1.502304,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757461,3.105222,1.601452,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105234,1.701975,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757463,3.105265,1.802464,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105284,1.902841,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757433,3.105289,2.00177,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.105318,2.102113,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757459,3.105347,2.20311,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757447,3.105373,2.300005,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757426,3.105381,2.403252,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757462,3.105402,2.502621,ACCELERATE
